タイムスタンプ	お名前	X ID	VRChatプロフURL	第1希望	第2希望	第3希望	備考
2026-03-20 10:00	春日 茜	@akane_k	https://vrchat.com/home/user/usr_akane	Noa	Rin	Mio	初参加
2026-03-20 10:01	湊 颯太	@sota_m	https://vrchat.com/home/user/usr_sota	Rin	Noa	Sora	リピーター
2026-03-20 10:02	月城 るな	@luna_t		Mio	Sora	Haru
2026-03-20 10:03	鳴瀬 伊織	@iori_n		Sora	Mio	Rin
2026-03-20 10:04	朝霧 こはく	@kohaku_a	https://vrchat.com/home/user/usr_kohaku	Noa	Mio	Rin
2026-03-20 10:05	白瀬 悠	@yuu_s		Haru	Noa	Mio
2026-03-20 10:06	緋野 なずな	@nazuna_h		Rin	Sora	Noa
2026-03-20 10:07	星川 リト	@rito_h	https://vrchat.com/home/user/usr_rito	Mio	Noa	Sora
2026-03-20 10:08	葵 知花	@chihana_a		Sora	Haru	Rin
2026-03-20 10:09	天羽 タマ	@tama_ae		Noa	Sora	Mio
2026-03-20 10:10	辻原 れん	@ren_t		Rin	Mio	Haru
2026-03-20 10:11	宮瀬 エル	@el_m	https://vrchat.com/home/user/usr_el	Yuki	Rin	Noa	欠席キャスト希望
2026-03-20 10:12	夜凪 ゆず	@yuzu_y		Mio	Haru	Sora
2026-03-20 10:13	浅葱 千秋	@chiaki_as		Sora	Noa	Mio
2026-03-20 10:14	桃瀬 まほ	https://x.com/maho_mo		Noa	Mio		XID URL形式・第3希望なし
2026-03-20 10:15	神代 リオ	rio_k		Rin			XID rawフォーマット・第2/3希望なし
2026-03-20 10:16	音羽 空美	@sorami_o				希望なし
2026-03-20 10:17	霧崎 縁	@en_k		Rin	Noa	Mio	NG対象（Rin）
2026-03-20 10:18	八雲 凪	@nagi_y		Sora	Mio	Rin	NG対象（Sora）
2026-03-20 10:19	烏丸 れい	@rei_kar		Haru	Sora	Noa
