Timestamp	Name	X ID	VRC URL	Choice 1	Choice 2	Choice 3	Note
2026-03-15 18:00	Alice	@alice_vrc	https://vrchat.com/home/user/usr_alice	Noa	Rin	Mio	First-time guest
2026-03-15 18:01	Bob	@bob_space	https://vrchat.com/home/user/usr_bob	Rin	Mio	Noa	Returning
2026-03-15 18:02	Chika	@chika_tw	https://vrchat.com/home/user/usr_chika	Mio	Noa	Rin	VIP
2026-03-15 18:03	Dai	@dai_castfan	https://vrchat.com/home/user/usr_dai	Noa	Mio	Rin	-
2026-03-15 18:04	Ema	@ema_guest	https://vrchat.com/home/user/usr_ema	Rin	Noa	Mio	-
2026-03-15 18:05	Fumi	@fumi_vrc	https://vrchat.com/home/user/usr_fumi	Mio	Rin	Noa	Needs escort
2026-03-15 18:06	Gaku	@gaku_hello	https://vrchat.com/home/user/usr_gaku	Noa	Rin	Mio	-
2026-03-15 18:07	Hana	@hana_room	https://vrchat.com/home/user/usr_hana	Mio	Noa	Rin	-
2026-03-15 18:08	Iori	@iori_blue	https://vrchat.com/home/user/usr_iori	Rin	Mio	Noa	-
2026-03-15 18:09	Jun	@jun_guest	https://vrchat.com/home/user/usr_jun	Noa	Mio	Rin	Pair request
2026-03-15 18:10	Kana	@kana_light	https://vrchat.com/home/user/usr_kana	Rin	Noa	Mio	-
2026-03-15 18:11	Luca	@luca_link	https://vrchat.com/home/user/usr_luca	Mio	Rin	Noa	-
